Experiment Log
C:\Users\Rb Lab\Documents\GitHub\fqh_arbitrary_ramps\Data_folder

6/18/2026 1:33:44 PM

Experiment Program Used:
C:\Users\Rb Lab\Documents\GitHub\fqh_arbitrary_ramps\Timeline\Analysis\2026_06_11_parameter_update_test\readArrayExample.vb

Batch Length:  
1

==========================
timestamp ,  expNo ,  start_var ,  end_var ,  ramp_time ,  
2026-06-18 13:35:20.785,  0,  4,  2,  100,  
2026-06-18 13:35:23.306,  0,  4,  2,  100,  
2026-06-18 13:35:25.897,  0,  4,  2,  100,  
2026-06-18 13:35:28.403,  0,  4,  2,  100,  
2026-06-18 13:35:30.937,  0,  4,  2,  100,  
2026-06-18 13:35:33.439,  0,  4,  2,  100,  
2026-06-18 13:35:35.980,  0,  4,  2,  100,  
2026-06-18 13:35:38.471,  0,  4,  2,  100,  
2026-06-18 13:35:40.999,  0,  4,  2,  100,  
2026-06-18 13:35:43.502,  0,  4,  2,  100,  
2026-06-18 13:35:45.986,  0,  4,  2,  100,  
2026-06-18 13:35:48.498,  0,  4,  2,  100,  
2026-06-18 13:35:51.078,  0,  4,  2,  100,  
2026-06-18 13:35:53.605,  0,  4,  2,  100,  
2026-06-18 13:35:56.180,  0,  4,  2,  100,  
2026-06-18 13:35:58.704,  0,  4,  2,  100,  
2026-06-18 13:36:01.197,  0,  4,  2,  100,  
2026-06-18 13:36:03.780,  0,  4,  2,  100,  
2026-06-18 13:36:06.374,  0,  4,  2,  100,  
2026-06-18 13:36:09.018,  0,  4,  2,  100,  
2026-06-18 13:36:11.577,  0,  4,  2,  100,  
2026-06-18 13:36:14.054,  0,  4,  1,  200,  
2026-06-18 13:36:16.498,  0,  4,  1,  200,  
2026-06-18 13:36:18.970,  0,  4,  1,  200,  
2026-06-18 13:36:21.448,  0,  4,  1,  150,  
2026-06-18 13:36:23.918,  0,  4,  1,  150,  
2026-06-18 13:36:26.391,  0,  4,  1,  150,  
2026-06-18 13:36:28.846,  0,  4,  1,  150,  
2026-06-18 13:36:31.318,  0,  4,  1,  10,  
2026-06-18 13:36:33.799,  0,  4,  1,  10,  
2026-06-18 13:36:36.262,  0,  4,  1,  50,  
2026-06-18 13:36:38.695,  0,  4,  1,  50,  
2026-06-18 13:36:41.082,  0,  4,  1,  50,  
2026-06-18 13:36:43.569,  0,  4,  1,  50,  
2026-06-18 13:36:46.085,  0,  4,  1,  50,  
2026-06-18 13:39:35.865,  0,  4,  1,  50,  
2026-06-18 13:39:38.464,  0,  4,  1,  50,  
2026-06-18 13:39:40.992,  0,  4,  1,  50,  
2026-06-18 13:39:43.385,  0,  4,  1,  50,  
2026-06-18 13:39:45.731,  0,  4,  1,  50,  
2026-06-18 13:39:48.140,  0,  4,  1,  50,  
2026-06-18 13:39:50.538,  0,  4,  1,  50,  
2026-06-18 13:39:52.944,  0,  4,  1,  50,  
2026-06-18 13:39:55.364,  0,  4,  1,  50,  
2026-06-18 13:39:57.786,  0,  4,  4,  50,  
2026-06-18 13:40:00.176,  0,  4,  4,  50,  
2026-06-18 13:40:02.589,  0,  4,  4,  50,  
2026-06-18 13:40:05.053,  0,  4,  4,  50,  
2026-06-18 13:40:07.465,  0,  4,  4,  100,  
2026-06-18 13:40:09.890,  0,  4,  4,  100,  
2026-06-18 13:40:12.236,  0,  4,  4,  100,  
2026-06-18 13:40:14.663,  0,  4,  4,  100,  
2026-06-18 13:40:16.974,  0,  4,  4,  100,  
2026-06-18 13:40:19.280,  0,  4,  4,  100,  
2026-06-18 13:40:21.774,  0,  4,  4,  100,  
2026-06-18 13:40:24.172,  0,  4,  4,  100,  
2026-06-18 13:40:26.631,  0,  4,  4,  100,  
2026-06-18 13:40:29.038,  0,  4,  4,  100,  
2026-06-18 13:40:31.407,  0,  4,  4,  100,  
2026-06-18 13:40:33.822,  0,  4,  4,  100,  
